,Unnamed: 0,Area,Year,category,subgroup1,subgroup2,subgroup3,item code,item,value,unit,Nitrogen Production (ktN)
1470658,1470658,France,2023,Vegetal surfaces,"Crops, primary",Fruit Primary,,541,Other stone fruits,6470.0,ha,
1470659,1470659,France,2023,Vegetal surfaces,"Crops, primary",Fruit Primary,,603,"Other tropical fruits, n.e.c.",6130.0,ha,
1470660,1470660,France,2023,Vegetal surfaces,"Crops, primary",Fruit Primary,,534,Peaches and nectarines,11220.0,ha,
1470661,1470661,France,2023,Vegetal surfaces,"Crops, primary",Fruit Primary,,521,Pears,6080.0,ha,
1470662,1470662,France,2023,Vegetal surfaces,"Crops, primary",Fruit Primary,,536,Plums and sloes,15110.0,ha,
1470663,1470663,France,2023,Vegetal surfaces,"Crops, primary",Fruit Primary,,547,Raspberries,680.0,ha,
1470664,1470664,France,2023,Vegetal surfaces,"Crops, primary",Fruit Primary,,530,Sour cherries,760.0,ha,
1470665,1470665,France,2023,Vegetal surfaces,"Crops, primary",Fruit Primary,,544,Strawberries,3890.0,ha,
1470666,1470666,France,2023,Vegetal surfaces,"Crops, primary",Fruit Primary,,567,Watermelons,930.0,ha,
1470667,1470667,France,2023,Vegetal surfaces,"Crops, primary",Oilcrops Primary,,333,Linseed,26900.0,ha,
1470668,1470668,France,2023,Vegetal surfaces,"Crops, primary",Oilcrops Primary,,260,Olives,16790.0,ha,
1470669,1470669,France,2023,Vegetal surfaces,"Crops, primary",Oilcrops Primary,,339,"Other oil seeds, n.e.c.",19550.0,ha,
1470670,1470670,France,2023,Vegetal surfaces,"Crops, primary",Oilcrops Primary,,270,Rape or colza seed,1345730.0,ha,
1470671,1470671,France,2023,Vegetal surfaces,"Crops, primary",Oilcrops Primary,,236,Soya beans,157750.0,ha,
1470672,1470672,France,2023,Vegetal surfaces,"Crops, primary",Oilcrops Primary,,267,Sunflower seed,821740.0,ha,
1470673,1470673,France,2023,Vegetal surfaces,"Crops, primary","Pulses, Total",,181,"Broad beans and horse beans, dry",80230.0,ha,
1470674,1470674,France,2023,Vegetal surfaces,"Crops, primary","Pulses, Total",,210,Lupins,4930.0,ha,
1470675,1470675,France,2023,Vegetal surfaces,"Crops, primary","Pulses, Total",,211,Other pulses n.e.c.,116930.0,ha,
1470676,1470676,France,2023,Vegetal surfaces,"Crops, primary","Pulses, Total",,187,"Peas, dry",151600.0,ha,
1470677,1470677,France,2023,Vegetal surfaces,"Crops, primary","Roots and Tubers, Total",,116,Potatoes,204010.0,ha,
1470678,1470678,France,2023,Vegetal surfaces,"Crops, primary",Sugar Crops Primary,,157,Sugar beet,380550.0,ha,
1470679,1470679,France,2023,Vegetal surfaces,"Crops, primary","Treenuts, Total",,221,"Almonds, in shell",2330.0,ha,
